State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Uttar Pradesh,Muzaffarnagar,0.32%,0.136,30.3,44.8,"4,216","13,24,171","1,276",1276000
Uttar Pradesh,Pilibhit,0.16%,0.214,47.1,45.4,"2,069","13,24,171",974,974000
Uttar Pradesh,Pratapgarh,0.23%,0.174,41.7,41.9,"3,067","13,24,171","1,278",1278000
Uttar Pradesh,Rae Bareli,0.26%,0.183,42.4,43.1,"3,489","13,24,171","1,480",1480000
Uttar Pradesh,Rampur,0.19%,0.202,42.9,47.1,"2,499","13,24,171","1,071",1071000
Uttar Pradesh,Saharanpur,0.28%,0.149,33,45.1,"3,709","13,24,171","1,224",1224000
Uttar Pradesh,Sant Kabir Nagar,0.13%,0.208,47.9,43.5,"1,675","13,24,171",803,803000
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),0.12%,0.196,46.5,42.3,"1,625","13,24,171",755,755000
Uttar Pradesh,Shahjahanpur,0.24%,0.252,54.3,46.3,"3,238","13,24,171","1,759",1759000
Uttar Pradesh,Shrawasti,0.09%,0.393,75.4,52.2,"1,135","13,24,171",855,855000
Uttar Pradesh,Siddharth Nagar,0.18%,0.273,59.5,45.9,"2,415","13,24,171","1,436",1436000
Uttar Pradesh,Sitapur,0.34%,0.279,58,48,"4,469","13,24,171","2,593",2593000
Uttar Pradesh,Sonbhadra,0.15%,0.253,53.5,47.2,"1,993","13,24,171","1,067",1067000
Uttar Pradesh,Sultanpur,0.26%,0.201,47.2,42.6,"3,421","13,24,171","1,615",1615000
Uttar Pradesh,Unnao,0.24%,0.198,44.5,44.5,"3,210","13,24,171","1,429",1429000
Uttar Pradesh,Varanasi,0.28%,0.11,26.4,41.8,"3,750","13,24,171",989,989000
Uttarakhand,Almora,0.04%,0.096,24.9,38.7,575,"13,24,171",143,143000
Uttarakhand,Bageshwar,0.02%,0.08,20.5,38.8,273,"13,24,171",56,56000
Uttarakhand,Chamoli,0.03%,0.066,16.7,39.2,357,"13,24,171",60,60000
Uttarakhand,Champawat,0.02%,0.1,23.9,41.8,248,"13,24,171",59,59000
Uttarakhand,Dehradun,0.16%,0.029,7,41.9,"2,155","13,24,171",151,151000
Uttarakhand,Garhwal,0.05%,0.046,12,38.6,705,"13,24,171",85,85000
Uttarakhand,Hardwar,0.16%,0.101,22.7,44.5,"2,117","13,24,171",481,481000
Uttarakhand,Nainital,0.07%,0.05,12,41.8,944,"13,24,171",113,113000
Uttarakhand,Pithoragarh,0.04%,0.059,15.1,39.2,480,"13,24,171",72,72000
Uttarakhand,Rudraprayag,0.02%,0.052,13.1,39.4,239,"13,24,171",31,31000
Uttarakhand,Tehri Garhwal,0.05%,0.071,18.1,39.2,640,"13,24,171",116,116000
Uttarakhand,Udham Singh Nagar,0.14%,0.096,22.6,42.4,"1,827","13,24,171",413,413000
Uttarakhand,Uttarkashi,0.03%,0.106,25.3,42,337,"13,24,171",85,85000
West Bengal,Bankura,0.30%,0.151,35.7,42.4,"4,011","13,24,171","1,432",1432000
West Bengal,Barddhaman,0.66%,0.116,26.8,43.2,"8,739","13,24,171","2,341",2341000
West Bengal,Birbhum,0.29%,0.166,40,41.6,"3,835","13,24,171","1,534",1534000
West Bengal,Dakshin Dinajpur,0.13%,0.122,29.9,40.8,"1,675","13,24,171",500,500000
West Bengal,Darjiling,0.14%,0.057,13.7,41.6,"1,821","13,24,171",250,250000
West Bengal,Haora,0.39%,0.064,15.3,41.9,"5,129","13,24,171",785,785000
West Bengal,Hugli,0.44%,0.074,17.9,41.4,"5,775","13,24,171","1,031",1031000
West Bengal,Jalpaiguri,0.29%,0.11,25.9,42.6,"3,817","13,24,171",987,987000
West Bengal,Koch Bihar,0.23%,0.12,29.5,40.8,"3,059","13,24,171",903,903000
West Bengal,Kolkata,0.34%,0.015,3.9,40,"4,447","13,24,171",171,171000
West Bengal,Maldah,0.33%,0.165,38.9,42.4,"4,320","13,24,171","1,681",1681000
West Bengal,Murshidabad,0.64%,0.126,29.3,43,"8,414","13,24,171","2,463",2463000
West Bengal,Nadia,0.43%,0.064,16.1,39.8,"5,657","13,24,171",911,911000
West Bengal,North Twenty Four Parganas,0.83%,0.038,9.6,39.5,"11,013","13,24,171","1,061",1061000
West Bengal,Paschim Medinipur,0.51%,0.138,34.4,40.2,"6,749","13,24,171","2,319",2319000
West Bengal,Purba Medinipur,0.45%,0.072,18.7,38.5,"5,945","13,24,171","1,112",1112000
West Bengal,Puruliya,0.26%,0.262,59.2,44.3,"3,436","13,24,171","2,034",2034000
West Bengal,South Twenty Four Parganas,0.66%,0.134,32.5,41.3,"8,703","13,24,171","2,832",2832000
West Bengal,Uttar Dinajpur,0.26%,0.209,46.9,44.6,"3,449","13,24,171","1,618",1618000
