State,District,Population_Share_district,MPI_District,Headcount_Ratio,Intensity_of_Deprivation,Total_Population,,Number_of_MPI_PeopleDistrict_InThousand,Number_of_MPI_PeopleDistrict
Chhattisgarh,Bastar,0.13%,0.269,61.3,43.9,"1,668","13,24,171","1,022",1022000
Chhattisgarh,Bijapur,0.02%,0.206,50.3,40.9,287,"13,24,171",144,144000
Chhattisgarh,Bilaspur,0.27%,0.12,29.6,40.7,"3,520","13,24,171","1,040",1040000
Chhattisgarh,Dakshin Bastar Dantewada,0.05%,0.323,65.1,49.5,634,"13,24,171",413,413000
Chhattisgarh,Dhamtari,0.07%,0.097,25.1,38.5,951,"13,24,171",239,239000
Chhattisgarh,Durg,0.28%,0.093,24,38.6,"3,703","13,24,171",890,890000
Chhattisgarh,Janjgir - Champa,0.15%,0.114,29.9,38,"2,006","13,24,171",601,601000
Chhattisgarh,Jashpur,0.07%,0.229,53,43.2,920,"13,24,171",488,488000
Chhattisgarh,Kabirdham,0.07%,0.2,47.3,42.3,970,"13,24,171",459,459000
Chhattisgarh,Korba,0.11%,0.166,39.1,42.4,"1,478","13,24,171",578,578000
Chhattisgarh,Korea (Koriya),0.06%,0.187,44,42.4,731,"13,24,171",322,322000
Chhattisgarh,Mahasamund,0.10%,0.157,40.8,38.5,"1,352","13,24,171",551,551000
Chhattisgarh,Narayanpur,0.01%,0.281,62.4,45.1,159,"13,24,171",99,99000
Chhattisgarh,Raigarh,0.13%,0.15,37,40.6,"1,724","13,24,171",638,638000
Chhattisgarh,Raipur,0.36%,0.109,26.8,40.5,"4,822","13,24,171","1,294",1294000
Chhattisgarh,Rajnandgaon,0.14%,0.101,26.8,37.6,"1,895","13,24,171",508,508000
Chhattisgarh,Surguja,0.19%,0.237,54.2,43.8,"2,569","13,24,171","1,393",1393000
Chhattisgarh,Uttar Bastar Kanker,0.06%,0.148,36.5,40.5,829,"13,24,171",303,303000
Dadra And Nagar Haveli,Dadra & Nagar Haveli,0.03%,0.14,33.3,42.1,370,"13,24,171",123,123000
Daman And Diu,Daman,0.01%,0.027,6.3,42.3,155,"13,24,171",10,10000
Daman And Diu,Diu,0.00%,0.016,4.3,37,40,"13,24,171",2,2000
Delhi,Central,0.03%,0.015,3.5,43.1,407,"13,24,171",14,14000
Delhi,East,0.10%,0.015,3.8,39.3,"1,327","13,24,171",50,50000
Delhi,New Delhi,0.01%,0.023,5.8,39.7,116,"13,24,171",7,7000
Delhi,North,0.07%,0.007,2,37.5,885,"13,24,171",17,17000
Delhi,North East,0.18%,0.026,6.6,40.2,"2,369","13,24,171",155,155000
Delhi,North West,0.26%,0.023,4.8,47.5,"3,386","13,24,171",164,164000
Delhi,South,0.21%,0.018,4.1,43.3,"2,841","13,24,171",116,116000
Delhi,South West,0.27%,0.008,2.1,40.1,"3,633","13,24,171",76,76000
Delhi,West,0.18%,0.011,2.7,38.8,"2,392","13,24,171",65,65000
Goa,North Goa,0.07%,0.022,5.9,36.5,937,"13,24,171",55,55000
Goa,South Goa,0.05%,0.02,5.2,38.2,655,"13,24,171",34,34000
Gujarat,Ahmadabad,0.54%,0.032,8.2,39.2,"7,160","13,24,171",584,584000
Gujarat,Amreli,0.11%,0.053,13.1,40.1,"1,503","13,24,171",198,198000
Gujarat,Anand,0.18%,0.072,17.8,40.5,"2,439","13,24,171",434,434000
Gujarat,Banaskantha,0.23%,0.149,33.6,44.5,"3,102","13,24,171","1,042",1042000
Gujarat,Bharuch,0.13%,0.095,23.1,41.4,"1,662","13,24,171",383,383000
Gujarat,Bhavnagar,0.23%,0.077,19.6,39,"2,992","13,24,171",587,587000
Gujarat,Dohad,0.15%,0.268,59.9,44.7,"1,928","13,24,171","1,155",1155000
Gujarat,Gandhinagar,0.12%,0.084,18.8,45,"1,565","13,24,171",294,294000
Gujarat,Jamnagar,0.16%,0.064,14.3,44.9,"2,063","13,24,171",296,296000
Gujarat,Junagadh,0.20%,0.049,11.9,41.5,"2,685","13,24,171",319,319000
Gujarat,Kachchh,0.17%,0.144,31,46.4,"2,203","13,24,171",683,683000
Gujarat,Kheda,0.19%,0.109,27.3,40,"2,499","13,24,171",683,683000
Gujarat,Mahesana,0.18%,0.049,11.9,41.4,"2,348","13,24,171",279,279000
Gujarat,Narmada,0.05%,0.185,45.9,40.2,623,"13,24,171",286,286000
Gujarat,Navsari,0.11%,0.08,20.5,39,"1,445","13,24,171",296,296000
Gujarat,Panchmahal,0.19%,0.201,47.7,42.1,"2,483","13,24,171","1,183",1183000
Gujarat,Patan,0.11%,0.107,25.7,41.5,"1,423","13,24,171",366,366000
Gujarat,Porbandar,0.05%,0.041,10.5,39.6,600,"13,24,171",63,63000
Gujarat,Rajkot,0.30%,0.042,10.3,40.7,"3,927","13,24,171",405,405000
Gujarat,Sabarkantha,0.20%,0.119,29,41.1,"2,646","13,24,171",768,768000
Gujarat,Surat,0.49%,0.042,10.7,39.4,"6,487","13,24,171",694,694000
Gujarat,Surendranagar,0.14%,0.12,26.3,45.8,"1,819","13,24,171",478,478000
